model,theta_self,converged,task,acc,psi_self,params_b,family,floor_flag
qwen35-27B,1.8275508391954158,TRUE,egma-math,0.8238893322692206,6.218637549043568,27,qwen35,FALSE
qwen35-2B,1.3018925741457865,TRUE,egma-math,0.7572371762315896,3.6762476591842863,2,qwen35,FALSE
qwen35-4B,3.384928585003582,TRUE,egma-math,0.9356743814844374,29.515884764077992,4,qwen35,FALSE
qwen35-9B,2.6960191511448954,TRUE,egma-math,0.898933468765871,14.82061550630576,9,qwen35,FALSE
smolvlm2-2.2B,-0.47484238221464814,TRUE,egma-math,0.42895312120476076,0.6219830843356285,2.2,smolvlm2,FALSE
smolvlm2-256M,-1.2677536622951528,TRUE,egma-math,0.27882173692229556,0.28146317351276146,0.256,smolvlm2,TRUE
smolvlm2-500M,-1.22965631671965,TRUE,egma-math,0.2854240731335703,0.2923930510172927,0.5,smolvlm2,TRUE
tinyllava-3.1B,-0.45116124472467156,TRUE,egma-math,0.4337227018791265,0.636888139045409,3.1,tinyllava,FALSE
gemini_3_flash_preview,2.016302505206794,TRUE,matrix-reasoning,0.875,7.510503483001357,NA,gemini_3_flash_preview,FALSE
gemini_pro,-0.16734591257704612,TRUE,matrix-reasoning,0.459375,0.8459069508693218,NA,gemini_pro,FALSE
gemma4-26B-A4B-it,-0.5814441734469274,TRUE,matrix-reasoning,0.3638888888888889,0.5590903598028201,NA,gemma4-26B,FALSE
gemma4-31B-it,0.1708593105458952,TRUE,matrix-reasoning,0.54,1.1863238340277964,31,gemma4,FALSE
gemma4-E2B-it,-1.0901240148038513,TRUE,matrix-reasoning,0.26,0.33617480046955744,2,gemma4,TRUE
gemma4-E4B-it,-0.7086306201108333,TRUE,matrix-reasoning,0.33621794871794874,0.4923179063139926,4,gemma4,TRUE
gpt53,0.20774283889763112,TRUE,matrix-reasoning,0.54875,1.2308965901206375,NA,gpt53,FALSE
gpt55,2.591592397624031,TRUE,matrix-reasoning,0.925,13.351014809152003,NA,gpt55,FALSE
internvl35-14B,-0.36706967510846467,TRUE,matrix-reasoning,0.4125,0.6927613751388528,14,internvl35,FALSE
internvl35-1B,-0.9750296308196448,TRUE,matrix-reasoning,0.2818181818181818,0.37718117721014016,1,internvl35,TRUE
internvl35-2B,-0.5366292940038059,TRUE,matrix-reasoning,0.37386363636363634,0.5847158396186792,2,internvl35,FALSE
internvl35-38B,0.12716466267080462,TRUE,matrix-reasoning,0.5296052631578947,1.1356039939736884,38,internvl35,FALSE
internvl35-4B,-0.17812868095327838,TRUE,matrix-reasoning,0.45681818181818185,0.8368347318689532,4,internvl35,FALSE
internvl35-8B,-0.3916613132562584,TRUE,matrix-reasoning,0.4068181818181818,0.6759330047456655,8,internvl35,FALSE
qwen35-0.8B,-0.9985486745713638,TRUE,matrix-reasoning,0.2772727272727273,0.36841374158719176,0.8,qwen35,TRUE
qwen35-27B,-0.8566175262943433,TRUE,matrix-reasoning,0.3053571428571429,0.4245958403919287,27,qwen35,TRUE
qwen35-2B,-0.670921452506685,TRUE,matrix-reasoning,0.3443181818181818,0.5112372798075482,2,qwen35,TRUE
qwen35-4B,-1.193998017391237,TRUE,matrix-reasoning,0.24125,0.30300741028331674,4,qwen35,TRUE
qwen35-9B,-1.261569667482238,TRUE,matrix-reasoning,0.22954545454545455,0.2832091332567422,9,qwen35,TRUE
smolvlm2-2.2B,-1.243664591958475,TRUE,matrix-reasoning,0.2326086956521739,0.28832568359391464,2.2,smolvlm2,TRUE
smolvlm2-256M,-1.0624286175118978,TRUE,matrix-reasoning,0.26515151515151514,0.3456154225852514,0.256,smolvlm2,TRUE
smolvlm2-500M,-1.129194845265609,TRUE,matrix-reasoning,0.2528409090909091,0.32329345291318873,0.5,smolvlm2,TRUE
tinyllava-3.1B,-1.2024033890257577,TRUE,matrix-reasoning,0.23977272727272728,0.30047119424306556,3.1,tinyllava,TRUE
gemini_3_flash_preview,0.38106926353586956,TRUE,mental-rotation,0.5771084337349398,1.4638489932556995,NA,gemini_3_flash_preview,FALSE
gemini_pro,0.2450785616996687,TRUE,mental-rotation,0.5451807228915663,1.2777216892495897,NA,gemini_pro,FALSE
gemma4-26B-A4B-it,0.15332445239488016,TRUE,mental-rotation,0.5234270414993306,1.165703132766109,NA,gemma4-26B,FALSE
gemma4-31B-it,0.656704294746509,TRUE,mental-rotation,0.6397590361445783,1.9284263251483242,31,gemma4,FALSE
gemma4-E2B-it,-0.03322978927871814,TRUE,mental-rotation,0.47903614457831323,0.9673162551438593,2,gemma4,FALSE
gemma4-E4B-it,0.13080308618972467,TRUE,mental-rotation,0.5180722891566265,1.1397433280122835,4,gemma4,FALSE
gpt53,0.17135588497028503,TRUE,mental-rotation,0.5277108433734939,1.1869130783925512,NA,gpt53,FALSE
gpt55,0.6512465392522413,TRUE,mental-rotation,0.6385542168674698,1.9179301147063483,NA,gpt55,FALSE
internvl35-14B,0.23697184051293232,TRUE,mental-rotation,0.5432639649507119,1.267405427786027,14,internvl35,FALSE
internvl35-1B,0.12159448216191845,TRUE,mental-rotation,0.515881708652793,1.1292960592178927,1,internvl35,FALSE
internvl35-2B,0.13540832487684973,TRUE,mental-rotation,0.5191675794085433,1.1450042226196768,2,internvl35,FALSE
internvl35-38B,0.23234168824914544,TRUE,mental-rotation,0.54216867469879515,1.2615507122472274,38,internvl35,FALSE
internvl35-4B,0.37683774078230703,TRUE,mental-rotation,0.5761226725082147,1.4576677701493697,4,internvl35,FALSE
internvl35-8B,0.07097765796625657,TRUE,mental-rotation,0.5038335158817087,1.0735572401483287,8,internvl35,FALSE
qwen35-0.8B,-0.1319469858986502,TRUE,mental-rotation,0.4556407447973713,0.8763874547412012,0.8,qwen35,FALSE
qwen35-27B,0.1960137063257535,TRUE,mental-rotation,0.5335628227194492,1.2165435795626396,27,qwen35,FALSE
qwen35-2B,0.16305555514424558,TRUE,mental-rotation,0.5257393209200438,1.1771020819479663,2,qwen35,FALSE
qwen35-4B,-0.26495076237157966,TRUE,mental-rotation,0.4244406196213425,0.7672437263073434,4,qwen35,FALSE
qwen35-9B,-0.09952632489350191,TRUE,mental-rotation,0.4633077765607886,0.9052661185206695,9,qwen35,FALSE
smolvlm2-2.2B,0.06257741117408352,TRUE,mental-rotation,0.5018334206390781,1.0645768658732981,2.2,smolvlm2,FALSE
smolvlm2-256M,0.04337657230050421,TRUE,mental-rotation,0.49726177437020813,1.0443310869732447,0.256,smolvlm2,FALSE
smolvlm2-500M,0.03417533989629254,TRUE,mental-rotation,0.4950711938663746,1.0347660265903726,0.5,smolvlm2,FALSE
tinyllava-3.1B,0.11699103193513796,TRUE,mental-rotation,0.5147864184008762,1.1241093485597828,3.1,tinyllava,FALSE
gemini_3_flash_preview,1.0625024481533014,TRUE,theory-of-mind,0.7108108108108108,2.893603028146896,NA,gemini_3_flash_preview,FALSE
gemini_pro,1.2981191655368092,TRUE,theory-of-mind,0.7477477477477478,3.662401814062776,NA,gemini_pro,FALSE
gemma4-26B-A4B-it,0.9240224546093216,TRUE,theory-of-mind,0.6876876876876877,2.5194042242141426,NA,gemma4-26B,FALSE
gemma4-31B-it,1.4718947084478615,TRUE,theory-of-mind,0.772972972972973,4.357483485262392,31,gemma4,FALSE
gemma4-E2B-it,-0.5019273143483227,TRUE,theory-of-mind,0.4097297297297297,0.6053628102374987,2,gemma4,FALSE
gemma4-E4B-it,-0.027622168088427657,TRUE,theory-of-mind,0.5065835065835066,0.9727558355730088,4,gemma4,FALSE
gpt53,0.7023706669792351,TRUE,theory-of-mind,0.6486486486486487,2.0185323077001707,NA,gpt53,FALSE
gpt55,1.0132459686452808,TRUE,theory-of-mind,0.7027027027027027,2.754527629742067,NA,gpt55,FALSE
internvl35-14B,0.8543435254099896,TRUE,theory-of-mind,0.6756756756756757,2.349831269604442,14,internvl35,FALSE
internvl35-1B,-0.43847102918079717,TRUE,theory-of-mind,0.4226044226044226,0.6450218871599375,1,internvl35,FALSE
internvl35-2B,-0.12605745297431703,TRUE,theory-of-mind,0.4864864864864865,0.881564196843275,2,internvl35,FALSE
internvl35-38B,0.5257911873475787,TRUE,theory-of-mind,0.615931721194879,1.69179684726563,38,internvl35,FALSE
internvl35-4B,0.8826762532844599,TRUE,theory-of-mind,0.6805896805896806,2.417360526213902,4,internvl35,FALSE
internvl35-8B,0.8402633074317893,TRUE,theory-of-mind,0.6732186732186732,2.31697697372567,8,internvl35,FALSE
qwen35-0.8B,-0.5720959026333854,TRUE,theory-of-mind,0.3955773955773956,0.5643413936982785,0.8,qwen35,FALSE
qwen35-27B,0.9747024815514831,TRUE,theory-of-mind,0.6962676962676962,2.6503785571525857,27,qwen35,FALSE
qwen35-2B,-0.5354887553785477,TRUE,theory-of-mind,0.40294840294840295,0.5853831110706631,2,qwen35,FALSE
qwen35-4B,0.40612977228427427,TRUE,theory-of-mind,0.593050193050193,1.500997327671436,4,qwen35,FALSE
qwen35-9B,0.608651227822484,TRUE,theory-of-mind,0.6314496314496314,1.8379507494078264,9,qwen35,FALSE
smolvlm2-2.2B,-0.6404134601083369,TRUE,theory-of-mind,0.381903642773208,0.5270744547241928,2.2,smolvlm2,FALSE
smolvlm2-256M,-0.6088523323814763,TRUE,theory-of-mind,0.3882063882063882,0.5439748132442078,0.256,smolvlm2,FALSE
smolvlm2-500M,-0.3962424006848515,TRUE,theory-of-mind,0.4312039312039312,0.6728435784240787,0.5,smolvlm2,FALSE
tinyllava-3.1B,-0.41432715856215196,TRUE,theory-of-mind,0.4275184275184275,0.6607847345156244,3.1,tinyllava,FALSE
